animal,date,session_type,session_dprime,session_hit_rate,area,n_units,n_trials,n_folds,accuracy,precision,recall,roc_auc,accuracy_gt,precision_gt,recall_gt,roc_auc_gt,acx_beta,ofc_beta,beta_diff,beta_diff_ci_low,beta_diff_ci_high,histology_fallback
G3A3,13/02/2025,(1b Expert) 1b Categorization,,,OFC,22,369,5,0.5636856368563685,0.5588235294117647,0.5248618784530387,0.573233807452686,0.5772357723577236,0.5760869565217391,0.5760869565217391,0.6018654524089306,,,,,,False
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,ACx,319,254,5,0.7244094488188977,0.7878787878787878,0.7123287671232876,0.7960743277524099,0.7362204724409449,0.7346938775510204,0.9056603773584906,0.8223104932141675,0.22872075940114073,0.20613139699222735,0.022589362408913377,-0.7717004848754307,0.7504994066131396,True
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,OFC,442,254,5,0.7519685039370079,0.7785234899328859,0.7945205479452054,0.8002600202942669,0.7677165354330708,0.7631578947368421,0.9119496855345912,0.8514068189341277,0.22872075940114073,0.20613139699222735,0.022589362408913377,-0.7717004848754307,0.7504994066131396,True
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,ACx,271,300,5,0.7166666666666667,0.7190635451505016,0.9953703703703703,0.6101190476190476,0.45666666666666667,0.45962732919254656,0.49333333333333335,0.4567555555555556,0.385194536824402,0.10328083215496266,0.2819137046694394,-0.08430540578800791,0.6593507522207414,True
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,OFC,40,300,5,0.7666666666666667,0.7683823529411765,0.9675925925925926,0.7247023809523809,0.47,0.47305389221556887,0.5266666666666666,0.43444444444444447,0.385194536824402,0.10328083215496266,0.2819137046694394,-0.08430540578800791,0.6593507522207414,True
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,ACx,82,300,5,0.7066666666666667,0.7066666666666667,1.0,0.5555317324185249,0.5,0.5,0.5133333333333333,0.5159333333333334,,,,,,True
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,ACx,210,112,5,0.7946428571428571,0.8222222222222222,0.7115384615384616,0.778525641025641,0.7857142857142857,0.7758620689655172,0.8035714285714286,0.7943239795918366,,,,,,False
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,ACx,257,328,5,0.8628048780487805,0.0,0.0,0.7525323910482921,0.4451219512195122,0.46017699115044247,0.6341463414634146,0.41630725758477094,,,,,,True
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,ACx,48,400,5,0.775,0.775,1.0,0.44677419354838704,0.5375,0.5344827586206896,0.6169154228855721,0.5524013100327507,-0.04071898080363709,0.007886019605790759,-0.04860500040942785,-0.34795108740850245,0.33920857271355864,True
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,OFC,65,400,5,0.775,0.775,1.0,0.48465949820788534,0.53,0.5276595744680851,0.6169154228855721,0.5496387409685242,-0.04071898080363709,0.007886019605790759,-0.04860500040942785,-0.34795108740850245,0.33920857271355864,True
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,ACx,53,300,5,0.69,0.0,0.0,0.44678198535141034,0.4766666666666667,0.4835680751173709,0.6866666666666666,0.45248888888888894,,,,,,True
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,ACx,234,181,5,0.8674033149171271,0.5,0.041666666666666664,0.6998407643312102,0.4419889502762431,0.45614035087719296,0.5714285714285714,0.4454822954822955,0.10061422483636945,-0.5970149729285674,0.6976291977649369,0.10904302832392122,1.5895426454069126,False
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,OFC,18,181,5,0.8674033149171271,0.0,0.0,0.5851910828025477,0.47513812154696133,0.48484848484848486,0.7032967032967034,0.4816239316239316,0.10061422483636945,-0.5970149729285674,0.6976291977649369,0.10904302832392122,1.5895426454069126,False
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,ACx,46,301,5,0.6976744186046512,0.697986577181208,0.6933333333333334,0.7988962472406183,0.6910299003322259,0.70042194092827,0.8829787234042553,0.7210271135379401,0.8529251704442287,-0.4370629250852308,1.2899880955294596,0.889028847983794,1.8034476743508228,True
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,OFC,18,301,5,0.6312292358803987,0.6196319018404908,0.6733333333333333,0.6899779249448124,0.6245847176079734,0.6245847176079734,1.0,0.46860289964225194,0.8529251704442287,-0.4370629250852308,1.2899880955294596,0.889028847983794,1.8034476743508228,True
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,ACx,113,500,5,0.664,0.6718061674008811,0.941358024691358,0.6571794332211,0.628,0.6126760563380281,0.696,0.7014480000000001,0.11874823975095013,-0.345376580205444,0.4641248199563941,0.16208008851505507,0.8070539842380495,True
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,OFC,49,500,5,0.648,0.648,1.0,0.4788247053872054,0.488,0.49257425742574257,0.796,0.506304,0.11874823975095013,-0.345376580205444,0.4641248199563941,0.16208008851505507,0.8070539842380495,True
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,ACx,18,334,5,0.7305389221556886,0.7305389221556886,1.0,0.5619307832422586,0.46107784431137727,0.46236559139784944,0.5180722891566265,0.4662399598393574,0.3987865729457469,0.061304886300155105,0.33748168664559175,-0.06561140400899775,0.7620996077102734,True
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,OFC,37,334,5,0.7305389221556886,0.7305389221556886,1.0,0.5320127504553734,0.49101796407185627,0.49,0.5903614457831325,0.48610513482501433,0.3987865729457469,0.061304886300155105,0.33748168664559175,-0.06561140400899775,0.7620996077102734,True
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,ACx,39,500,5,0.836,0.836,1.0,0.4746615707783873,0.5,0.5,0.5,0.492472,,,,,,True
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,ACx,28,500,5,0.688,0.688,1.0,0.5572171288014311,0.466,0.4721311475409836,0.576,0.4666,,,,,,True
G5A1,16/7,(Novice) 1b Categorization,,,ACx,47,150,5,0.8,0.0,0.0,0.3988888888888889,0.52,0.5194805194805194,0.5333333333333333,0.4901333333333333,-0.06522636533048579,-0.2669104381594331,0.20168407282894732,-0.4426738177687649,0.7663874707590669,True
G5A1,16/7,(Novice) 1b Categorization,,,OFC,65,150,5,0.8,0.5,0.06666666666666667,0.7183333333333334,0.6,0.5903614457831325,0.6533333333333333,0.6016,-0.06522636533048579,-0.2669104381594331,0.20168407282894732,-0.4426738177687649,0.7663874707590669,True
G4A4,27/3/2025,(Novice) 1b Categorization,,,ACx,151,204,5,0.7107843137254902,0.7368421052631579,0.6730769230769231,0.7756730769230769,0.5,0.504,0.6116504854368932,0.5076420263385562,0.04208928523782421,-0.053765219596590516,0.09585450483441472,-0.25541464880377185,0.49361125883389717,True
G4A4,27/3/2025,(Novice) 1b Categorization,,,OFC,16,204,5,0.6323529411764706,0.6306306306306306,0.6730769230769231,0.6544230769230769,0.5245098039215687,0.5258620689655172,0.5922330097087378,0.551571662020571,0.04208928523782421,-0.053765219596590516,0.09585450483441472,-0.25541464880377185,0.49361125883389717,True
G4A4,27/3/2025,(Novice) 2b Categorization,,,ACx,158,290,5,0.7551724137931034,0.7126436781609196,0.5740740740740741,0.8022995522995523,0.43448275862068964,0.4463276836158192,0.5448275862068965,0.42756242568370983,2.2987523348432003e-05,0.13168683544881604,-0.13166384792546762,-0.46792707367073505,0.15853130883487002,True
G4A4,27/3/2025,(Novice) 2b Categorization,,,OFC,21,290,5,0.593103448275862,0.2727272727272727,0.05555555555555555,0.5714285714285714,0.4793103448275862,0.483695652173913,0.6137931034482759,0.4493697978596908,2.2987523348432003e-05,0.13168683544881604,-0.13166384792546762,-0.46792707367073505,0.15853130883487002,True
G5A1,16/7,(Novice) 2b Categorization,,,OFC,77,82,5,0.5975609756097561,0.3333333333333333,0.06451612903225806,0.39089184060721055,0.43902439024390244,0.45098039215686275,0.5609756097560976,0.4289113622843545,,,,,,True
