animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,n_ofc_go,p_mouse_go,p_gt_go,p_acx_go,p_ofc_go,error_trials_only,n_behavior_match,p_behavior_match,odds_behavior_match,models_agree_only,agreement_state,condition,acx_pred,n_condition,n_mouse_nogo,p_mouse_nogo,n_gt_nogo,p_gt_nogo,ofc_pred
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,48.0,37.0,48.0,45.0,44.0,0.7708333333333334,1.0,0.9375,0.9166666666666666,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,47.0,34.0,47.0,41.0,41.0,0.723404255319149,1.0,0.8723404255319149,0.8723404255319149,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,32.0,20.0,32.0,31.0,32.0,0.625,1.0,0.96875,1.0,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,32.0,23.0,32.0,27.0,28.0,0.71875,1.0,0.84375,0.875,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,31.0,10.0,0.0,19.0,16.0,0.3225806451612903,0.0,0.6129032258064516,0.5161290322580645,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,32.0,10.0,0.0,20.0,16.0,0.3125,0.0,0.625,0.5,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,16.0,7.0,0.0,7.0,5.0,0.4375,0.0,0.4375,0.3125,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,16.0,5.0,0.0,6.0,8.0,0.3125,0.0,0.375,0.5,False,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,11.0,0.0,11.0,10.0,10.0,0.0,1.0,0.9090909090909091,0.9090909090909091,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,13.0,0.0,13.0,10.0,9.0,0.0,1.0,0.7692307692307693,0.6923076923076923,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,12.0,0.0,12.0,12.0,12.0,0.0,1.0,1.0,1.0,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,9.0,0.0,9.0,6.0,6.0,0.0,1.0,0.6666666666666666,0.6666666666666666,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,10.0,10.0,0.0,7.0,5.0,1.0,0.0,0.7,0.5,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,10.0,10.0,0.0,8.0,7.0,1.0,0.0,0.8,0.7,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,7.0,7.0,0.0,3.0,2.0,1.0,0.0,0.42857142857142855,0.2857142857142857,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,5.0,5.0,0.0,3.0,3.0,1.0,0.0,0.6,0.6,True,,,,,,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,45.0,,,,,,,,,,34.0,0.7555555555555555,3.0909090909090904,True,Models agree (pooled),,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,41.0,,,,,,,,,,32.0,0.7804878048780488,3.5555555555555562,True,Models agree (pooled),,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,31.0,,,,,,,,,,19.0,0.6129032258064516,1.5833333333333335,True,Models agree (pooled),,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,29.0,,,,,,,,,,23.0,0.7931034482758621,3.833333333333334,True,Models agree (pooled),,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,24.0,,,,,,,,,,12.0,0.5,1.0,True,Models agree (pooled),,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,20.0,,,,,,,,,,13.0,0.65,1.8571428571428574,True,Models agree (pooled),,,,,,,,
